# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136606.27024818223
# 
Resultados:
# tau_s_=_(9.63+/-2.14)e-08
# dphi_rad_=_6.37+/-0.02
# SAR_W/g_=_172.79+/-44.85
# Hc_kA/m_=_6.04+/-0.97
# Mr_A/m_=_340.80+/-92.60
# Suceptibilidad_a_M=0_=_0.0612+/-0.0105
# t_hasta_1er_file_=_131.18
# Duracion_T_Fase_=_62.27
# 1er_file_T_Fase_=_135kHz_150dA_100Mss_NE5X157.txt
# last_file_T_Fase_=_135kHz_150dA_100Mss_NE5X273.txt

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_150dA_100Mss_NE5X015.txt	131.18	-42.26	190.31	5.05	57041.50	1068.86	1.366120e+05	8.882727e+00	6.349614e+00	122.98	7.750663e-08	4392	3.991e-02
135kHz_150dA_100Mss_NE5X016.txt	131.69	-41.29	180.35	4.81	57041.50	1082.88	1.366120e+05	8.940916e+00	6.339906e+00	105.72	6.615302e-08	4392	4.001e-02
135kHz_150dA_100Mss_NE5X017.txt	132.18	-39.67	176.53	4.64	57041.50	1088.72	1.365809e+05	8.965452e+00	6.335361e+00	97.50	6.084254e-08	4393	4.021e-02
135kHz_150dA_100Mss_NE5X018.txt	132.67	-36.88	204.60	5.38	57041.50	1049.23	1.366120e+05	8.789876e+00	6.365722e+00	151.15	9.637794e-08	4392	3.997e-02
135kHz_150dA_100Mss_NE5X019.txt	133.68	-35.00	170.43	4.50	57041.50	1085.72	1.366120e+05	8.934179e+00	6.331755e+00	90.47	5.663104e-08	4392	3.999e-02
135kHz_150dA_100Mss_NE5X020.txt	134.21	-34.45	195.41	5.12	57041.50	1050.10	1.366120e+05	8.798221e+00	6.358581e+00	138.23	8.800652e-08	4392	4.015e-02
135kHz_150dA_100Mss_NE5X021.txt	134.8	-32.92	179.30	4.73	57041.50	1071.74	1.366120e+05	8.877143e+00	6.343693e+00	111.97	7.058017e-08	4392	4.037e-02
135kHz_150dA_100Mss_NE5X022.txt	135.35	-30.76	187.10	4.89	57041.50	1052.00	1.366120e+05	8.795804e+00	6.351353e+00	124.96	7.954147e-08	4392	4.034e-02
135kHz_150dA_100Mss_NE5X023.txt	135.84	-28.45	178.67	4.69	57041.50	1057.91	1.366120e+05	8.802342e+00	6.343599e+00	110.85	7.047015e-08	4392	4.029e-02
135kHz_150dA_100Mss_NE5X024.txt	136.35	-27.00	165.93	4.33	57041.50	1082.91	1.366120e+05	8.915367e+00	6.330948e+00	88.78	5.568809e-08	4392	4.060e-02
135kHz_150dA_100Mss_NE5X025.txt	136.84	-26.02	165.10	4.33	57041.50	1070.03	1.366120e+05	8.844844e+00	6.331189e+00	88.53	5.596961e-08	4392	4.012e-02
135kHz_150dA_100Mss_NE5X026.txt	137.35	-25.14	171.41	4.47	57041.50	1052.48	1.365809e+05	8.761005e+00	6.338551e+00	101.10	6.456949e-08	4393	4.056e-02
135kHz_150dA_100Mss_NE5X027.txt	137.84	-24.36	162.88	4.26	57041.50	1062.75	1.366120e+05	8.786940e+00	6.329685e+00	85.19	5.421426e-08	4392	4.037e-02
135kHz_150dA_100Mss_NE5X028.txt	138.36	-23.85	161.22	4.23	57041.50	1057.59	1.366120e+05	8.724560e+00	6.327858e+00	81.27	5.208075e-08	4392	4.026e-02
135kHz_150dA_100Mss_NE5X029.txt	138.85	-23.51	174.84	4.53	57041.50	1049.47	1.366120e+05	8.761563e+00	6.342808e+00	108.89	6.954591e-08	4392	4.065e-02
135kHz_150dA_100Mss_NE5X030.txt	139.35	-22.88	184.92	4.80	57041.50	1040.67	1.366120e+05	8.717400e+00	6.353122e+00	127.06	8.161305e-08	4392	4.038e-02
135kHz_150dA_100Mss_NE5X031.txt	139.84	-22.14	161.95	4.26	57041.50	1049.61	1.366120e+05	8.705803e+00	6.331386e+00	87.49	5.620001e-08	4392	4.026e-02
135kHz_150dA_100Mss_NE5X032.txt	140.35	-21.41	162.73	4.23	57041.50	1060.61	1.366120e+05	8.758011e+00	6.330565e+00	86.52	5.524088e-08	4392	4.042e-02
135kHz_150dA_100Mss_NE5X033.txt	140.85	-20.71	199.40	5.17	57041.50	1052.55	1.365809e+05	8.610476e+00	6.371809e+00	158.92	1.035215e-07	4393	4.075e-02
135kHz_150dA_100Mss_NE5X034.txt	141.34	-19.85	190.04	4.94	57041.50	1038.50	1.366120e+05	8.646387e+00	6.360809e+00	139.85	9.061737e-08	4392	4.025e-02
135kHz_150dA_100Mss_NE5X035.txt	141.85	-18.89	168.45	4.41	57041.50	1037.90	1.366120e+05	8.659047e+00	6.339312e+00	101.32	6.545865e-08	4392	4.022e-02
135kHz_150dA_100Mss_NE5X036.txt	142.35	-18.22	162.31	4.28	57041.50	1043.75	1.366120e+05	8.661264e+00	6.334052e+00	91.85	5.931342e-08	4392	4.033e-02
135kHz_150dA_100Mss_NE5X037.txt	142.84	-17.68	159.44	4.15	57041.50	1048.32	1.366120e+05	8.689859e+00	6.329075e+00	83.15	5.350118e-08	4392	4.063e-02
