# Configuracion:
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_268498.9350708356
# 
Resultados:
# tau_s_=_(1.10+/-0.12)e-07
# dphi_rad_=_6.47+/-0.02
# SAR_W/g_=_17.75+/-2.12
# Hc_kA/m_=_1.29+/-0.13
# Mr_A/m_=_53.91+/-7.02
# Suceptibilidad_a_M=0_=_0.0431+/-0.0021
# t_hasta_1er_file_=_171.30
# Duracion_T_Fase_=_159.79
# 1er_file_T_Fase_=_265kHz_015dA_100Mss_NE5X0306.txt
# last_file_T_Fase_=_265kHz_015dA_100Mss_NE5X0604.txt

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
265kHz_015dA_100Mss_NE5X0015.txt	171.3	-33.57	40.28	1.03	6871.45	260.98	2.685164e+05	3.885583e+00	6.427377e+00	13.79	8.606721e-08	4469	4.003e-02
265kHz_015dA_100Mss_NE5X0016.txt	171.83	-32.46	39.65	1.01	6871.45	261.29	2.685164e+05	3.891865e+00	6.425277e+00	13.61	8.479638e-08	4469	3.992e-02
265kHz_015dA_100Mss_NE5X0017.txt	172.35	-31.44	40.96	1.04	6871.45	261.59	2.685164e+05	3.895214e+00	6.429213e+00	14.00	8.717842e-08	4469	4.005e-02
265kHz_015dA_100Mss_NE5X0018.txt	172.86	-30.47	40.73	1.04	6871.45	262.08	2.685164e+05	3.903513e+00	6.427944e+00	13.90	8.640951e-08	4469	4.020e-02
265kHz_015dA_100Mss_NE5X0019.txt	173.88	-28.70	40.61	1.03	6871.45	263.31	2.685164e+05	3.924394e+00	6.427126e+00	13.90	8.591478e-08	4469	4.048e-02
265kHz_015dA_100Mss_NE5X0020.txt	174.39	-27.95	40.98	1.03	6871.45	263.82	2.685164e+05	3.930746e+00	6.427849e+00	13.99	8.635281e-08	4469	4.040e-02
265kHz_015dA_100Mss_NE5X0021.txt	174.91	-27.23	41.42	1.04	6871.45	265.10	2.685164e+05	3.950907e+00	6.427986e+00	14.08	8.643600e-08	4469	4.065e-02
265kHz_015dA_100Mss_NE5X0022.txt	175.43	-26.45	41.12	1.03	6871.45	265.09	2.685164e+05	3.952428e+00	6.427330e+00	14.02	8.603970e-08	4469	4.061e-02
265kHz_015dA_100Mss_NE5X0023.txt	176.0	-25.60	41.42	1.04	6871.45	265.49	2.685164e+05	3.957520e+00	6.428212e+00	14.12	8.657224e-08	4469	4.073e-02
265kHz_015dA_100Mss_NE5X0024.txt	176.58	-24.38	41.84	1.04	6871.45	266.29	2.685164e+05	3.968939e+00	6.429292e+00	14.27	8.722603e-08	4469	4.089e-02
265kHz_015dA_100Mss_NE5X0025.txt	177.11	-23.38	41.53	1.03	6871.45	266.38	2.684564e+05	3.975116e+00	6.428089e+00	14.17	8.649872e-08	4470	4.092e-02
265kHz_015dA_100Mss_NE5X0026.txt	177.63	-22.81	41.86	1.04	6871.45	266.97	2.684564e+05	3.983436e+00	6.428122e+00	14.20	8.651940e-08	4470	4.125e-02
265kHz_015dA_100Mss_NE5X0027.txt	178.16	-22.32	42.10	1.04	6871.45	267.26	2.685164e+05	3.984249e+00	6.428794e+00	14.28	8.692586e-08	4469	4.107e-02
265kHz_015dA_100Mss_NE5X0028.txt	178.74	-22.03	42.05	1.04	6871.45	268.18	2.685164e+05	3.999449e+00	6.428425e+00	14.29	8.670206e-08	4469	4.123e-02
265kHz_015dA_100Mss_NE5X0029.txt	179.26	-21.69	41.70	1.03	6871.45	268.05	2.685164e+05	3.997029e+00	6.427259e+00	14.17	8.599605e-08	4469	4.150e-02
265kHz_015dA_100Mss_NE5X0030.txt	179.75	-21.30	42.23	1.05	6871.45	268.57	2.685164e+05	4.003348e+00	6.428718e+00	14.34	8.688106e-08	4469	4.117e-02
265kHz_015dA_100Mss_NE5X0031.txt	180.26	-20.87	42.27	1.05	6871.45	268.15	2.684564e+05	4.002135e+00	6.428911e+00	14.35	8.699616e-08	4470	4.128e-02
265kHz_015dA_100Mss_NE5X0032.txt	180.76	-20.42	42.66	1.05	6871.45	268.81	2.684564e+05	4.010863e+00	6.430209e+00	14.51	8.778237e-08	4470	4.128e-02
265kHz_015dA_100Mss_NE5X0033.txt	181.29	-19.97	42.36	1.05	6871.45	269.75	2.684564e+05	4.023050e+00	6.428605e+00	14.39	8.681162e-08	4470	4.156e-02
265kHz_015dA_100Mss_NE5X0034.txt	181.8	-19.56	42.67	1.06	6871.45	269.70	2.684564e+05	4.023974e+00	6.429625e+00	14.50	8.742884e-08	4470	4.150e-02
265kHz_015dA_100Mss_NE5X0035.txt	182.32	-19.14	42.13	1.04	6871.45	270.10	2.684564e+05	4.030100e+00	6.427098e+00	14.27	8.589890e-08	4470	4.165e-02
265kHz_015dA_100Mss_NE5X0036.txt	182.93	-18.66	42.62	1.04	6871.45	270.79	2.685164e+05	4.042413e+00	6.428079e+00	14.41	8.649399e-08	4469	4.192e-02
265kHz_015dA_100Mss_NE5X0037.txt	183.45	-18.33	42.63	1.05	6871.45	270.73	2.684564e+05	4.040199e+00	6.429048e+00	14.50	8.707977e-08	4470	4.159e-02
265kHz_015dA_100Mss_NE5X0038.txt	184.49	-17.71	42.66	1.05	6871.45	270.80	2.685164e+05	4.041555e+00	6.428958e+00	14.50	8.702542e-08	4469	4.185e-02
265kHz_015dA_100Mss_NE5X0039.txt	185.01	-17.39	42.53	1.04	6871.45	270.73	2.684564e+05	4.039226e+00	6.427731e+00	14.36	8.628239e-08	4470	4.166e-02
265kHz_015dA_100Mss_NE5X0040.txt	185.51	-17.09	42.54	1.04	6871.45	272.11	2.685164e+05	4.061318e+00	6.427471e+00	14.42	8.612470e-08	4469	4.181e-02
265kHz_015dA_100Mss_NE5X0041.txt	186.04	-16.77	42.92	1.05	6871.45	271.37	2.685164e+05	4.050960e+00	6.429049e+00	14.54	8.708066e-08	4469	4.184e-02
265kHz_015dA_100Mss_NE5X0042.txt	186.55	-16.41	42.96	1.05	6871.45	270.96	2.685164e+05	4.043987e+00	6.428942e+00	14.50	8.701595e-08	4469	4.188e-02
265kHz_015dA_100Mss_NE5X0043.txt	187.06	-16.07	42.96	1.05	6871.45	271.53	2.685164e+05	4.050308e+00	6.428742e+00	14.51	8.689492e-08	4469	4.170e-02
265kHz_015dA_100Mss_NE5X0044.txt	187.58	-15.81	42.50	1.04	6871.45	271.66	2.685164e+05	4.054180e+00	6.427035e+00	14.35	8.586003e-08	4469	4.180e-02
265kHz_015dA_100Mss_NE5X0045.txt	188.18	-15.56	43.13	1.05	6871.45	271.31	2.685164e+05	4.049569e+00	6.429389e+00	14.57	8.728665e-08	4469	4.181e-02
265kHz_015dA_100Mss_NE5X0046.txt	188.7	-15.46	43.06	1.05	6871.45	272.06	2.685164e+05	4.061143e+00	6.428424e+00	14.51	8.670120e-08	4469	4.180e-02
265kHz_015dA_100Mss_NE5X0047.txt	189.22	-15.27	43.33	1.05	6871.45	271.63	2.685164e+05	4.055983e+00	6.429686e+00	14.62	8.746761e-08	4469	4.180e-02
265kHz_015dA_100Mss_NE5X0048.txt	189.73	-14.96	43.32	1.05	6871.45	272.39	2.684564e+05	4.066391e+00	6.429653e+00	14.65	8.744660e-08	4470	4.227e-02
265kHz_015dA_100Mss_NE5X0049.txt	190.24	-14.68	43.01	1.04	6871.45	272.26	2.684564e+05	4.065914e+00	6.428606e+00	14.55	8.681326e-08	4470	4.220e-02
265kHz_015dA_100Mss_NE5X0050.txt	190.76	-14.42	42.99	1.04	6871.45	272.29	2.684564e+05	4.063447e+00	6.428666e+00	14.54	8.684934e-08	4470	4.197e-02
265kHz_015dA_100Mss_NE5X0051.txt	191.29	-14.16	43.43	1.05	6871.45	273.15	2.685164e+05	4.077077e+00	6.428928e+00	14.62	8.700786e-08	4469	4.210e-02
265kHz_015dA_100Mss_NE5X0052.txt	191.78	-13.91	43.22	1.05	6871.45	273.11	2.685164e+05	4.077297e+00	6.428001e+00	14.53	8.644612e-08	4469	4.206e-02
265kHz_015dA_100Mss_NE5X0053.txt	192.3	-13.62	42.80	1.04	6871.45	273.01	2.685164e+05	4.076504e+00	6.427835e+00	14.51	8.634610e-08	4469	4.203e-02
265kHz_015dA_100Mss_NE5X0054.txt	192.8	-13.32	42.85	1.04	6871.45	273.48	2.684564e+05	4.081402e+00	6.427231e+00	14.46	8.597871e-08	4470	4.220e-02
265kHz_015dA_100Mss_NE5X0055.txt	193.32	-13.07	43.30	1.05	6871.45	272.83	2.685164e+05	4.072422e+00	6.428844e+00	14.60	8.695622e-08	4469	4.231e-02
265kHz_015dA_100Mss_NE5X0056.txt	193.84	-12.86	43.35	1.05	6871.45	273.73	2.685164e+05	4.086771e+00	6.429298e+00	14.69	8.723088e-08	4469	4.215e-02
